PRODUCT_ID,DEPARTMENT_NAME,HEIGHT_INCHES,WIDTH_INCHES,DEPTH_INCHES,WEIGHT_GRAMS
71516,Pantry,8.5,4.8,0.6,3.86E+02
71519,Pantry,8.15,4.32,,8.39E+02
71522,Pantry,9.45,4.58,,1.20E+03
71529,Pantry,7.19,3.01,,8.10E+02
71530,Pantry,9.84,2.45,,7.12E+02
71536,Pantry,6.55,1.97,1.97,2.99E+02
71544,Pantry,7.88,2.71,2.71,6.35E+02
71549,Pantry,6.6,3.2,1.9,3.86E+02
71558,Pantry,7.16,2.06,,3.42E+02
71578,Snacks,7.5,3.75,2,2.62E+02
71579,Snacks,7.5,3.75,2,2.69E+02
71581,Snacks,7.5,3.75,2,2.55E+02
71583,Snacks,7.5,3.75,2,2.62E+02
71588,Snacks,8,5,2.69,3.88E+02
71593,Snacks,7.8,5.25,2.16,2.31E+02
71597,Snacks,7.38,2.63,,2.04E+02
71598,Snacks,7.75,6.25,2.13,3.40E+02
71600,Snacks,7.38,2.63,,2.04E+02
71604,Snacks,7.38,2.63,,2.04E+02
71607,Snacks,7.38,2.63,,2.21E+02
71616,Snacks,7.8,5.03,2.19,2.59E+02
71620,Snacks,7.86,5.06,2.36,2.72E+02
71625,Snacks,6.3,11,6.74,2.59E+02
71640,Snacks,6.32,3.03,,1.18E+02
71643,Snacks,8.5,3.2,1.55,4.54E+03
71664,Snacks,13.75,3,8,2.27E+02
71667,Snacks,12,8,3,1.98E+02
71676,Snacks,7.25,5.75,1.37,1.42E+02
71690,Snacks,,,,1.42E+01
71691,Snacks,5.94,2.39,,1.59E+01
71693,Snacks,5.84,8.3,,3.06E+02
71694,Snacks,6.22,6.08,,3.18E+01
71700,International,7.57,5.9,,1.50E+02
71723,Snacks,14.08,7.45,3.1,7.26E+03
71734,Snacks,4.48,4.56,,2.04E+02
71746,Snacks,11,8.25,1.78,4.25E+02
71748,Snacks,9.52,6.8,1.81,2.48E+02
71759,Dairy & Eggs,3.11,4.86,,4.47E+02
71762,Dairy & Eggs,6.96,3.09,1.5,2.59E+02
71770,Dairy & Eggs,3.5,5.25,3.25,4.40E+02
71776,Dairy & Eggs,4.67,4.67,,2.15E+02
71778,Deli,4.62,4.61,,2.18E+02
71782,Dairy & Eggs,3.01,3.05,,1.95E+02
71786,Dairy & Eggs,9,5.63,0.75,2.18E+02
71798,Dairy & Eggs,3.7,2.6,2.4,2.62E+02
71799,Dairy & Eggs,3.38,3.5,1.75,3.40E+02
71801,Dairy & Eggs,2.59,8.5,2.75,9.71E+02
71805,Dairy & Eggs,1.78,5.94,2.5,4.86E+02
71813,Dairy & Eggs,3.68,3.71,3.71,4.22E+02
71834,Dairy & Eggs,8.45,5.85,1.6,3.04E+02
71835,Dairy & Eggs,9,5.75,0.75,2.06E+02
71842,Dairy & Eggs,0,0,,6.80E+02
71857,Dairy & Eggs,8.39,2.62,2.62,1.84E+02
71886,Dairy & Eggs,9.65,3.5,3.5,1.04E+03
71895,Dairy & Eggs,9.7,3.5,3.5,6.35E+01
71896,Dairy & Eggs,9.74,3.6,3.6,1.13E+03
71934,Pantry,5.5,0.29,3.92,3.63E+01
71936,Deli,2.81,4.61,4.61,4.58E+02
71951,Dairy & Eggs,4.02,11.62,,7.89E+02
71953,Dairy & Eggs,3.98,11.5,,8.21E+02
71958,Dairy & Eggs,4.25,6.6,3.9,4.11E+02
71959,Dairy & Eggs,4.25,5.63,2.84,4.39E+02
71970,Dairy & Eggs,3.55,4.56,4.56,6.76E+02
71979,Dairy & Eggs,4.5,5.35,2.75,3.68E+02
71995,Dairy & Eggs,9.56,3.79,3.79,2.03E+03
72009,Dairy & Eggs,18.58,4.14,4.19,2.03E+03
72018,Dairy & Eggs,9.6,3.96,3.8,6.80E+01
72019,Dairy & Eggs,9.56,3.88,3.79,2.03E+03
72020,Dairy & Eggs,9.6,3.94,3.8,6.80E+01
72027,Pantry,2.29,3.38,2.29,1.70E+02
72033,Pantry,2.29,7.25,2.29,3.94E+02
72036,Pantry,6.5,6.5,3.1,1.10E+03
72042,Pantry,1.82,7,1.8,2.27E+02
72067,Dairy & Eggs,3.48,10.25,2.7,1.35E+03
72068,Dairy & Eggs,9.58,3.09,3.05,1.06E+03
72070,Dairy & Eggs,9.55,3.1,3.01,1.08E+03
72075,Dairy & Eggs,9.52,3.03,3.01,1.08E+03
72081,Dairy & Eggs,5.13,5.09,,9.07E+02
72084,Dairy & Eggs,2.29,3.79,,1.63E+02
72093,Dairy & Eggs,1.97,4.29,,1.50E+02
72094,Dairy & Eggs,4.29,4.29,,1.50E+02
72098,Dairy & Eggs,2.26,3.74,,1.59E+02
72115,Dairy & Eggs,,,,1.66E+02
72118,Dairy & Eggs,3.75,4.68,4.68,3.67E+02
72129,Dairy & Eggs,,,,1.70E+02
72131,Deli,4.65,4,,2.11E+02
72132,Deli,,,,2.04E+02
72151,Dairy & Eggs,9,5.75,0.75,2.13E+02
72152,Dairy & Eggs,6.07,1.9,,1.70E+02
72164,Dairy & Eggs,3.15,2.95,1.9,1.72E+02
